NGC5746;14h44.9m;+01d57m;Vela;Galaxy   ; 9.3;8.1m-1.4m;Blade&Pearl      
NGC5866;15h06.5m;+55d46m;Dora;Galaxy   ; 9.8;7.3m-3.5m;Foolms Gold      
NGC5897;15h17.4m;-21d01m;Lepu;Glob Clus; 8.2;11m      ;Ghost            
NGC5986;15h46.1m;-37d47m;Libr;Glob Clus; 7.8;9.6m     ;None             
NGC6210;16h44.5m;+23d48m;Grus;Plnty Neb; 8.4;48m-8m   ;Turtle           
NGC6242;16h55.5m;-39d28m;Sagi;Open Clus; 6.2;9m       ;Lacaille         
NGC6281;17h04.8m;-37d53m;Sagi;Open Clus; 5.8;8m       ;Moth Wing        
NGC6369;17h29.3m;-23d46m;Octa;Plnty Neb;11.4;58m-34m  ;Little Ghost     
NGC6400;17h40.2m;-36d58m;Sagi;Open Clus; 8.3;12m      ;Phantom          
IC4665 ;17h46.2m;+05d43m;Octa;Open Clus; 4.7;70m      ;Caroline Herschel
NGC6445;17h49.2m;-20d01m;Sext;Plnty Neb;11.2;3.1m-0.9m;Box              
NGC6503;17h49.4m;+70d09m;Dora;Galaxy   ;10.4;5.9m-2.2m;Lost-In-Space    
NGC6441;17h50.2m;-37d03m;Sagi;Glob Clus; 7.2;9.6m     ;Silver Nugget    
XXXX   ;17h57.8m;+04d40m;Octa;HiPM Star; 9.5;---------;Barnardms        
NGC6520;18h03.4m;-27d54m;Sext;Open Clus; 7.6;5m       ;Dead Man Chest   
NGC6544;18h07.3m;-25d00m;Sext;Glob Clus; 7.5;4.6m     ;Starfish         
NGC6572;18h12.1m;+06d51m;Octa;Plnty Neb; 7.3;16m-13m  ;Emerald Eye      
NGC6624;18h23.7m;-30d22m;Sext;Glob Clus; 7.8;8.8m     ;None             
NGC6633;18h27.2m;+06d30m;Octa;Open Clus; 4.3;20m      ;Caroline Herschel
IC4756 ;18h38.9m;+05d26m;Scut;Open Clus; 4.3;40m      ;Tweedledee       
NGC6709;18h51.5m;+10d20m;Apus;Open Clus; 6.8;15m      ;Flying Unicorn   
NGC6712;18h53.1m;-08d42m;Scor;Glob Clus; 8.3;9.8m     ;None             
NGC6723;18h59.5m;-36d38m;Sext;Glob Clus; 6.9;13.0m    ;None             
Cr399  ;19h26.2m;+20d06m;Vola;Asterism ; 3.5;90m      ;Coathanger       
NGC6819;19h41.3m;+40d11m;Crux;Open Clus; 7.3;5m       ;Caroline Herschel
NGC6818;19h44.0m;-14d09m;Sext;Plnty Neb; 9.3;22m-15m  ;Little Gem       
NGC6866;20h03.9m;+44d09m;Crux;Open Clus; 7.6;15m      ;Caroline Herschel
NGC6940;20h34.5m;+28d17m;Vola;Open Clus; 6.3;25m      ;Mothra           
XXXX   ;20h40.0m;+41d00m;Crux;DNeb     ;----;300m     ;N. Coalsack      
NGC7008;21h00.5m;+54d33m;Crux;Plnty Neb; 9.9;75m      ;Coat Button Neb  
NGC7027;21h07.0m;+42d14m;Crux;Plnty Neb; 8.5;18m-10m  ;Pink Pillow      
Tr37   ;21h39.0m;+57d30m;Cent;Open Clus; 3.8;90m      ;IC1396 Neb       
